add-yield-c,2,10000,40000,24937409,623,0
add-yield-c,4,10000,80000,55346692,691,0
add-yield-c,8,10000,160000,118312017,739,0
add-yield-c,12,10000,240000,186661199,777,0
add-yield-s,2,10000,40000,30214717,755,0
add-yield-s,4,10000,80000,107640724,1345,0
add-yield-s,8,1000,16000,30932182,1933,0
add-yield-s,12,1000,24000,63075528,2628,0
add-none,1,10000,20000,286014,14,0
add-none,2,10000,40000,600320,15,18446744073709551481
add-none,4,10000,80000,1122602,14,18446744073709550457
add-none,8,10000,160000,2111529,13,18446744073709541339
add-none,12,10000,240000,3530943,14,18446744073709545630
add-m,1,10000,20000,752293,37,0
add-m,2,10000,40000,7964195,199,0
add-m,4,10000,80000,15047571,188,0
add-m,8,10000,160000,39325091,245,0
add-m,12,10000,240000,56387814,234,0
add-c,1,10000,20000,524735,26,0
add-c,2,10000,40000,3190738,79,0
add-c,4,10000,80000,7709202,96,0
add-c,8,10000,160000,13226262,82,0
add-c,12,10000,240000,25665536,106,0
add-s,1,10000,20000,446690,22,0
add-s,2,10000,40000,3875974,96,0
add-s,4,10000,80000,43451219,543,0
add-s,8,10000,160000,98593155,616,0
add-s,12,10000,240000,199916500,832,0
